Realistic,Investigate,Artistic,Social,Enterprising,Conventional,Naturalist,Spatial,Linguistic,Intrapersonal,Bodily-Kinesthetic,Musical,Logical-mathematical,Interpersonal,Math,English,Science,Social Science,Class
1,0,0,1,0,1,1,0,1,1,0,0,0,0,89,87,88,87,4
1,1,0,0,0,1,0,1,0,1,0,0,1,0,90,89,91,88,1
0,1,1,0,0,1,0,1,0,1,0,1,0,0,92,98,89,96,2
0,1,0,0,1,1,0,1,0,1,0,0,1,0,92,90,91,89,1
0,0,1,1,0,1,1,1,0,0,0,1,0,0,91,93,93,87,2
0,1,0,0,1,1,0,0,1,0,0,0,1,1,93,90,87,88,3
1,0,0,1,0,1,1,0,1,0,1,0,0,0,85,90,86,88,4
0,1,0,1,0,1,0,1,0,1,0,0,1,0,90,90,88,87,1
1,1,0,0,1,0,1,0,0,0,0,1,0,1,89,91,88,87,1
0,0,0,1,1,1,0,0,1,1,0,0,1,0,83,95,92,94,2
1,0,0,1,0,1,1,0,1,1,0,0,0,0,80,95,90,87,4
1,0,0,1,1,0,1,1,0,0,0,0,1,0,89,89,90,87,1
1,1,0,0,0,1,0,1,0,1,0,0,1,0,92,90,91,89,1
0,0,1,1,0,1,0,0,1,0,1,0,0,1,94,93,88,95,2
0,0,1,1,0,1,1,0,0,1,0,1,0,0,89,91,87,96,2
1,0,0,1,0,1,1,0,0,0,1,1,0,0,91,96,91,93,4
0,0,1,1,0,1,0,1,0,1,0,1,0,0,87,97,85,89,2
0,1,0,0,1,1,0,1,0,1,0,0,1,0,90,94,90,92,4
1,1,0,0,0,1,0,0,1,0,1,0,0,1,87,92,86,86,2
1,1,0,0,0,1,0,0,0,0,0,1,1,1,92,90,91,89,1
1,1,0,0,0,1,0,1,0,1,0,0,1,0,91,89,89,88,1
1,1,0,1,0,0,0,0,1,0,1,0,0,1,87,91,85,86,2
0,1,0,1,0,1,0,1,0,1,0,0,1,0,91,90,88,90,4
0,1,0,0,1,1,0,0,1,0,0,0,1,1,93,93,90,90,3
1,1,0,0,0,1,0,1,0,1,0,0,1,0,86,81,84,87,1
0,0,1,1,0,1,0,1,1,0,0,0,0,1,85,80,80,80,4
1,0,0,1,0,1,1,0,1,1,0,0,0,0,89,87,88,87,4
1,0,1,0,0,1,0,0,1,0,1,0,0,1,90,89,91,88,1
1,0,0,1,0,1,1,0,1,1,0,0,0,0,88,93,92,88,4
1,0,0,1,0,1,1,0,1,1,0,0,0,0,85,90,86,88,4
0,0,1,1,0,1,1,0,1,1,0,0,0,0,90,89,91,88,4
1,1,1,0,0,0,0,1,0,1,0,0,1,0,95,92,93,91,1
0,0,1,1,0,1,0,1,0,1,0,1,0,0,84,92,91,89,2
0,1,0,1,1,0,0,0,1,0,0,0,1,1,93,90,87,86,3
1,1,0,1,0,0,0,1,0,1,0,1,0,0,89,91,92,91,2
0,1,0,0,1,1,1,0,1,0,0,0,1,0,89,91,87,86,3
0,0,0,1,1,1,1,0,1,0,1,0,0,0,88,87,88,86,4
0,1,1,0,0,1,1,0,1,0,0,0,0,1,86,91,92,87,2
0,1,0,0,1,1,0,0,1,0,0,0,1,1,90,92,89,87,3
1,0,1,0,1,0,1,0,1,0,0,0,0,1,90,96,92,94,2
1,0,0,1,0,1,0,1,0,1,0,0,1,0,86,81,84,87,1
1,1,0,0,0,1,1,0,0,1,0,0,0,1,91,89,90,89,1
0,1,0,1,0,1,1,0,1,0,0,0,1,0,92,92,93,88,3
0,1,0,0,1,1,0,0,1,0,0,0,1,1,90,91,90,90,3
1,1,0,0,0,1,0,1,0,1,0,0,1,0,89,91,88,87,1
1,1,0,0,0,1,0,1,0,1,0,0,1,0,92,90,91,89,1
0,1,0,0,1,1,0,0,1,0,0,0,1,1,91,90,90,89,3
1,0,0,1,0,1,1,0,1,1,0,0,0,0,90,91,90,90,4
0,1,0,0,1,1,1,0,1,1,0,0,0,0,94,93,91,91,3
0,1,1,0,0,1,0,0,1,0,1,0,1,0,87,93,92,90,2
1,0,0,0,1,1,1,0,1,0,0,0,1,1,90,92,90,92,3
1,0,0,1,0,1,0,1,0,1,0,0,0,1,88,93,92,88,4
1,0,0,1,0,1,0,0,1,1,0,0,0,1,97,97,94,98,4
0,0,1,1,0,1,0,0,1,1,0,0,1,0,92,96,87,96,2
1,0,0,0,1,1,0,1,0,1,0,0,1,0,90,92,91,90,1
0,0,1,1,0,1,0,0,1,0,1,0,0,1,84,93,93,92,2
0,1,0,1,0,1,0,1,0,1,0,0,1,0,92,90,91,89,1
0,0,1,1,1,0,0,0,1,0,1,0,0,1,87,95,92,93,2
0,1,1,1,0,0,0,0,0,0,0,1,1,1,92,91,89,89,1
0,1,0,1,1,0,1,0,1,0,0,0,0,1,94,91,90,88,2
1,0,0,1,0,1,0,0,1,1,0,0,0,1,85,90,86,88,4
1,0,0,1,0,1,1,0,1,1,0,0,0,0,85,80,80,80,4
0,1,0,0,1,1,0,0,1,0,0,0,1,1,93,92,89,87,3
0,0,0,1,1,1,1,0,1,1,0,0,0,0,90,91,90,90,4
1,1,0,0,0,1,1,0,0,1,0,0,0,1,90,87,89,86,1
1,1,1,0,0,0,0,0,1,0,1,0,0,1,94,91,91,94,2
0,1,1,1,0,0,1,0,0,1,0,0,0,1,90,92,91,90,1
1,0,0,0,1,1,0,1,0,1,0,0,1,0,90,89,91,88,1
0,1,0,0,1,1,0,0,0,0,0,0,1,1,92,93,89,89,3
1,1,1,0,0,0,0,0,1,0,1,0,1,0,84,98,86,94,2
1,1,0,1,0,0,0,0,0,0,1,1,1,0,91,90,92,90,1
0,1,0,0,1,1,0,0,1,0,0,0,1,1,93,90,87,89,3
0,1,0,0,1,1,0,0,1,0,0,0,1,1,90,91,90,88,3
0,1,0,0,1,1,0,0,1,0,0,0,1,1,90,88,88,87,3
1,1,0,0,0,1,1,0,0,0,1,0,0,1,92,90,89,88,1
0,0,1,1,0,1,1,0,0,1,0,1,0,0,90,91,86,93,2
1,0,0,1,0,1,1,0,1,1,0,0,0,0,84,93,91,96,4
1,0,0,1,0,1,0,1,0,1,0,0,1,0,92,90,91,89,1
1,0,0,1,0,1,0,1,0,0,1,0,0,1,90,90,95,95,4
0,1,0,0,1,1,0,0,1,0,0,0,1,1,93,92,91,91,3
0,0,0,1,1,1,0,0,1,0,1,0,0,1,88,95,92,86,2
0,1,0,0,1,1,0,0,1,0,0,0,1,1,91,89,88,91,3
0,1,0,0,1,1,0,0,1,0,0,0,1,1,90,87,86,87,3
0,0,1,1,1,0,0,0,0,0,1,1,1,0,93,94,87,86,2
1,0,1,1,0,0,1,0,1,1,0,0,0,0,90,90,88,87,4
1,0,0,1,0,1,1,1,0,0,0,0,0,1,92,95,88,93,4
0,1,0,0,1,1,0,0,1,0,0,0,1,1,91,89,89,88,3
0,1,0,1,1,0,0,1,0,1,0,1,0,0,90,95,85,91,2
0,1,0,1,1,0,1,0,0,0,1,1,0,0,90,91,89,88,4
0,1,0,0,1,1,1,0,0,1,0,1,0,0,88,87,88,86,1
1,1,0,0,0,1,1,0,1,0,0,0,0,1,91,94,88,90,2
1,0,1,0,0,1,0,0,0,0,1,1,1,0,92,90,91,89,1
1,0,0,1,0,1,0,0,1,1,0,0,0,1,90,89,91,88,4
0,0,1,1,1,0,0,1,0,1,0,1,0,0,92,97,86,89,2
1,1,0,0,0,1,0,1,0,1,0,0,1,0,92,90,91,89,1
0,0,1,1,0,1,1,0,0,1,0,1,0,0,94,96,85,92,2
0,1,0,0,1,1,0,1,0,1,0,0,0,1,90,88,89,89,3
1,1,0,0,0,1,1,0,1,1,0,0,0,0,92,95,88,93,4
1,0,0,1,0,1,0,1,1,0,0,0,0,1,87,91,93,88,4
0,1,0,0,1,1,0,0,1,0,0,0,1,1,89,93,87,87,3
0,1,0,1,1,0,0,0,1,0,0,0,1,1,91,88,87,87,3
1,0,0,1,0,1,1,0,1,1,0,0,0,0,90,96,89,88,4
1,0,0,1,1,0,0,0,1,1,0,0,1,0,97,97,94,98,4
0,1,1,0,0,1,1,1,0,0,0,1,0,0,88,93,93,94,2
0,0,1,1,0,1,0,1,0,1,0,0,1,0,91,90,92,90,1
1,1,0,0,0,1,1,0,0,1,0,0,0,1,88,87,89,85,1
1,0,1,0,1,0,1,0,1,0,0,0,0,1,86,96,86,91,2
0,0,1,1,0,1,0,1,0,1,0,1,0,0,87,98,88,90,2
0,1,0,0,1,1,0,0,1,0,1,0,0,1,92,90,89,88,1
0,1,1,0,0,1,1,0,1,0,0,0,0,1,83,92,86,95,2
1,1,0,0,0,1,0,1,0,1,0,0,1,0,91,90,92,90,1
0,1,0,0,1,1,0,0,0,1,0,0,1,1,92,88,85,85,3
1,1,1,0,0,0,1,0,1,0,0,0,0,1,93,93,92,93,2
1,1,0,1,0,0,0,1,0,1,0,1,0,0,84,93,91,96,2
1,0,0,1,0,1,1,0,1,1,0,0,0,0,97,97,94,98,4
0,0,1,1,0,1,0,0,1,0,1,0,0,1,89,98,86,89,2
1,0,0,0,1,1,1,0,1,0,0,0,1,0,92,93,92,87,3
0,1,0,1,0,0,0,0,1,0,1,0,1,0,90,91,87,87,2
1,0,0,1,1,0,0,0,0,1,0,1,0,1,97,95,92,97,4
1,0,0,0,1,1,1,0,0,0,0,0,1,1,94,90,90,88,3
1,1,0,0,0,1,0,0,0,1,0,1,0,1,95,92,93,91,1
0,1,0,0,1,1,1,0,1,0,0,0,0,1,91,93,87,90,3
1,0,0,1,0,1,1,0,1,1,0,0,0,0,90,96,89,88,4
1,0,0,1,0,1,0,1,0,1,0,0,1,0,90,92,91,90,1
1,0,0,1,0,1,0,1,1,0,0,0,0,1,92,97,92,95,4
0,1,0,0,1,1,0,0,1,0,0,0,1,1,92,95,88,88,3
0,0,0,1,1,1,0,0,1,0,1,0,0,1,86,96,91,94,2
0,0,0,1,1,1,0,1,1,0,0,0,0,1,87,86,89,89,3
0,0,1,1,0,1,0,0,1,0,1,0,0,1,83,94,89,92,2
1,0,0,0,1,1,1,0,0,0,0,0,1,1,95,92,88,88,3
1,1,0,0,0,1,0,1,0,1,0,0,1,0,86,81,84,87,1
1,1,0,0,0,1,0,1,0,1,0,0,1,0,95,92,93,91,1
1,0,0,1,0,1,1,0,1,0,1,0,0,0,91,89,90,89,4
0,0,1,1,0,1,0,1,0,1,0,0,1,0,91,90,91,90,1
0,0,1,0,1,1,1,0,1,1,0,0,0,0,85,80,80,80,4
1,1,0,0,0,1,1,1,0,0,0,1,0,0,85,94,90,86,2
1,0,0,0,1,1,0,0,1,0,0,0,1,1,92,92,87,88,3
0,1,0,0,1,1,0,0,1,0,0,0,1,1,91,90,89,89,3
0,0,1,0,1,1,0,0,1,0,0,0,1,1,89,91,89,87,3
0,1,1,0,1,0,1,0,0,0,0,1,1,0,86,81,84,87,1
1,1,0,1,0,0,0,0,0,1,1,1,0,0,91,89,90,89,1
0,0,1,1,1,0,1,0,1,1,0,0,0,0,94,89,89,89,4
0,1,1,0,0,1,0,1,0,1,0,0,1,0,95,92,93,91,1
0,0,1,1,1,0,0,1,0,1,0,0,1,0,88,87,88,86,1
1,0,1,0,0,1,0,0,0,1,0,1,1,0,88,87,89,85,1
1,1,0,0,0,1,1,1,0,0,0,0,1,0,88,87,88,86,1
0,1,0,0,1,1,0,0,1,0,0,0,1,1,90,93,89,89,3
0,1,0,0,1,1,0,1,1,0,0,0,0,1,90,89,88,88,3
0,0,1,1,0,1,1,0,1,0,0,0,0,1,91,96,91,93,2
1,1,0,0,0,1,0,1,0,1,0,0,1,0,92,90,91,89,1
0,0,1,1,0,1,1,0,1,0,0,0,0,1,91,92,85,92,2
1,1,0,1,0,0,0,1,0,1,0,0,1,0,90,90,88,87,1
1,0,0,1,0,1,1,0,1,1,0,0,0,0,97,95,92,97,4
0,1,0,0,1,1,0,0,1,0,0,0,1,1,93,90,87,87,3
1,1,0,0,0,1,0,0,1,0,1,0,0,1,86,81,84,87,1
1,1,0,1,0,0,0,1,0,1,0,1,0,0,83,97,89,86,2
1,0,1,1,0,0,1,1,0,0,1,0,0,0,90,90,95,95,4
0,0,0,1,1,1,0,1,1,0,0,0,0,1,88,93,87,86,3
0,1,1,0,1,0,0,1,0,1,0,0,1,0,90,92,91,90,1
1,1,0,0,0,1,0,1,0,1,0,0,1,0,92,90,89,88,1
0,1,0,0,1,1,1,0,0,1,0,0,0,1,88,89,86,87,3
1,1,1,0,0,0,0,0,1,1,0,0,0,1,90,87,88,88,4
0,1,0,1,1,0,0,1,0,0,0,0,1,1,91,88,85,86,3
1,0,0,1,0,1,1,0,1,0,1,0,0,0,83,95,92,89,4
1,0,0,1,0,1,1,0,1,0,1,0,0,0,85,80,80,80,4
1,0,0,0,1,1,1,0,1,0,0,0,1,1,89,92,90,92,3
0,1,0,1,1,0,1,0,0,0,1,0,0,1,83,98,86,90,2
1,0,0,0,1,1,0,1,0,1,0,0,1,0,91,89,89,88,1
1,0,0,1,0,1,1,1,0,0,0,0,1,0,91,89,90,89,4
1,0,0,1,0,1,1,1,0,1,0,0,0,0,90,92,91,90,4
1,1,0,0,0,1,1,1,0,0,0,0,1,0,92,91,89,89,1
1,0,1,0,0,1,1,0,1,1,0,0,0,0,90,91,90,90,4
1,0,0,1,0,1,1,0,1,1,0,0,0,0,92,97,92,95,4
1,0,1,1,0,0,1,0,1,1,0,0,0,0,88,93,92,88,4
0,1,0,1,0,1,1,0,1,0,0,0,0,1,87,90,87,91,3
0,0,0,1,1,1,0,0,0,0,1,1,1,0,83,95,92,89,2
1,1,1,0,0,0,1,1,0,0,0,1,0,0,92,92,91,90,2
1,1,0,0,0,1,1,0,1,0,0,0,1,0,97,90,92,89,3
1,1,0,0,0,1,1,0,0,1,0,0,1,0,92,90,91,89,1
0,0,1,1,0,1,0,0,1,0,1,0,0,1,85,97,88,94,2
0,1,1,0,0,1,0,0,1,0,1,0,0,1,86,95,88,91,2
1,1,0,0,0,1,0,0,1,0,1,0,0,1,84,96,90,87,2
0,1,1,1,0,0,1,0,0,0,1,1,0,0,84,93,91,96,4
0,0,1,1,1,0,1,0,1,1,0,0,0,0,84,96,90,88,4
1,0,0,1,0,1,1,0,1,1,0,0,0,0,90,87,88,88,4
1,1,0,0,0,1,0,1,0,1,0,0,1,0,92,90,89,88,1
1,1,0,1,0,0,0,0,1,1,0,0,1,0,90,91,85,89,2
0,1,0,0,1,1,1,1,0,0,0,1,0,0,89,88,85,89,3
0,1,0,0,1,1,1,0,1,0,0,0,0,1,93,93,89,89,3
0,0,1,0,1,1,1,0,1,1,0,0,0,0,91,89,89,88,4
1,1,0,0,0,1,1,0,0,0,0,0,1,1,91,89,89,88,1
1,1,0,0,1,0,1,0,0,1,0,0,1,0,90,90,88,87,1
1,1,0,0,0,1,0,1,0,1,0,0,1,0,91,89,89,88,1
0,1,1,0,0,1,1,0,0,1,1,0,0,0,91,90,88,90,4
1,1,0,0,0,1,0,1,0,1,0,0,1,0,95,92,93,91,1
0,1,0,1,1,0,1,1,0,0,0,0,0,1,89,92,89,87,3
1,1,1,0,0,0,0,1,0,1,0,0,1,0,92,90,89,88,1
0,1,0,0,1,1,0,0,1,0,0,0,1,1,92,89,90,90,3
1,0,1,0,0,1,0,1,0,1,0,0,1,0,86,81,84,87,1
1,0,0,1,0,1,1,0,1,1,0,0,0,0,97,95,92,97,4
1,0,0,1,0,1,0,0,0,1,0,1,1,0,91,89,90,89,1
1,1,0,0,0,1,0,1,0,1,0,0,1,0,90,90,88,87,1
0,1,0,0,1,1,0,0,1,0,0,0,1,1,91,89,89,87,3
1,1,0,0,0,1,0,0,1,0,1,0,0,1,88,87,88,86,1
1,1,0,0,0,1,0,1,0,1,0,0,1,0,90,90,88,87,1
0,0,1,1,0,1,1,1,0,0,0,1,0,0,87,95,91,87,2
1,1,0,0,0,1,0,1,0,1,0,0,1,0,90,89,90,86,1
0,1,0,0,1,1,0,0,1,0,0,0,1,1,92,90,88,87,3
1,0,0,0,1,1,1,0,1,1,0,0,0,0,92,91,89,89,4
1,0,0,0,1,1,1,0,1,1,0,0,0,0,94,98,91,95,4
1,0,0,1,0,1,1,0,0,0,0,1,0,1,88,87,88,86,1
1,1,0,0,0,1,1,0,0,1,0,0,0,1,91,89,89,88,1
1,0,0,1,0,1,1,0,1,1,0,0,0,0,90,87,88,88,4
1,1,0,0,0,1,0,0,0,0,0,1,1,1,95,92,93,91,1
1,0,0,1,0,1,0,1,1,0,0,0,0,1,88,87,88,86,4
1,0,0,0,1,1,1,0,1,1,0,0,0,0,89,87,88,87,4
1,0,0,1,0,1,0,0,0,1,0,1,0,1,88,88,88,87,4
1,0,0,1,0,1,1,0,1,1,0,0,0,0,91,96,91,93,4
0,1,0,0,1,1,1,0,0,0,0,0,1,1,90,91,89,89,3
0,0,1,1,0,1,0,1,0,1,0,0,1,0,90,90,88,87,1
1,1,1,0,0,0,0,0,1,0,1,0,0,1,85,92,88,87,2
1,0,0,1,0,1,0,0,0,1,1,0,0,1,90,92,91,90,1
0,0,1,1,0,1,0,0,0,0,1,1,1,0,92,95,88,93,2
1,1,0,0,0,1,0,1,0,1,0,0,1,0,92,90,91,89,1
1,0,1,1,0,0,1,0,1,1,0,0,0,0,94,91,90,88,4
0,0,1,0,1,1,1,0,0,0,1,1,0,0,89,92,82,90,4
0,1,0,0,1,1,0,0,1,0,0,0,1,1,91,89,88,90,3
1,1,0,0,0,1,0,0,0,1,0,1,1,0,91,90,92,90,1
0,1,0,0,1,1,1,1,0,0,0,0,0,1,90,90,88,89,3
0,1,0,0,1,1,0,0,1,0,0,0,1,1,93,93,86,89,3
0,1,0,0,1,1,0,0,1,0,1,0,0,1,91,89,90,89,1
1,0,0,0,1,1,0,0,1,0,0,0,1,1,94,85,90,89,3
0,1,0,1,0,1,1,0,0,0,0,1,0,1,89,87,88,86,1
1,1,0,0,0,1,0,0,1,0,1,0,0,1,87,98,88,95,2
1,1,0,0,0,1,1,0,1,0,0,0,0,1,83,94,90,92,2
0,1,1,1,0,0,1,0,0,0,1,1,0,0,87,91,93,88,4
0,0,0,1,1,1,0,0,1,0,0,0,1,1,90,92,88,89,3
1,0,0,0,1,1,1,0,0,0,0,0,1,1,93,92,90,92,3
0,1,1,0,0,1,0,1,0,1,0,0,1,0,92,91,89,89,1
1,0,0,0,1,1,1,0,1,0,0,0,1,0,89,88,87,89,3
1,0,0,0,1,1,1,0,1,0,0,0,1,1,87,92,87,87,3
0,0,0,1,1,1,1,0,0,0,0,0,1,1,90,88,91,88,3
0,1,0,1,1,0,0,0,0,1,0,0,1,1,89,91,87,89,3
1,0,0,0,1,1,0,0,1,0,0,0,1,1,93,85,87,88,3
1,0,1,0,1,0,1,0,1,1,0,0,0,0,88,93,92,88,4
1,1,0,0,0,1,0,1,0,1,0,0,1,0,92,91,89,89,1
1,1,0,0,0,1,1,1,0,0,0,1,0,0,89,91,93,90,2
