Realistic,Investigate,Artistic,Social,Enterprising,Conventional,Naturalist,Spatial,Linguistic,Intrapersonal,Bodily-Kinesthetic,Musical,Logical-mathematical,Interpersonal,Math,English,Science,Social Science,Class
0,0,1,1,0,1,0,0,0,0,1,0,1,0,83,91,85,93,2
1,0,1,0,1,0,0,0,0,1,0,1,0,1,89,92,82,90,4
1,0,1,0,1,0,0,0,1,0,1,0,1,0,85,97,90,89,2
0,0,1,1,1,0,1,1,0,0,0,1,0,0,87,91,93,88,2
0,1,0,0,1,1,0,0,1,0,0,0,1,1,92,92,90,90,3
0,1,0,0,1,1,0,0,1,0,0,0,1,1,98,96,93,89,3
1,0,1,0,0,1,1,0,1,1,0,0,0,0,91,89,89,88,4
1,0,1,0,1,0,0,0,1,1,0,0,1,0,85,98,90,86,2
0,0,1,1,0,1,0,0,1,0,1,0,0,1,94,95,86,86,2
1,1,0,0,0,1,0,1,0,1,0,0,1,0,88,87,88,86,1
0,0,1,1,0,1,1,0,1,0,0,0,0,1,85,91,88,94,2
0,1,0,1,0,1,1,0,1,0,0,0,0,1,84,97,89,87,2
0,1,0,1,0,1,0,0,0,1,0,1,1,0,86,81,84,87,1
0,1,1,0,0,1,0,1,0,1,0,0,0,1,90,89,91,88,1
1,0,1,0,0,1,0,1,0,1,0,0,1,0,95,92,93,91,1
0,1,0,0,1,1,0,0,0,1,0,0,1,1,94,92,92,92,3
1,0,0,1,0,1,1,0,1,1,0,0,0,0,90,94,90,92,4
0,1,0,0,1,1,1,0,1,0,0,0,0,1,89,93,87,88,3
0,0,1,1,1,0,0,1,0,1,0,1,0,0,84,91,93,86,2
0,1,0,1,1,0,0,0,1,0,1,0,0,1,87,91,85,88,2
1,0,1,0,1,0,1,0,1,1,0,0,0,0,90,92,91,90,4
0,1,0,1,1,0,0,1,0,1,0,0,1,0,91,89,89,88,1
0,1,0,0,1,1,1,1,1,0,0,0,0,0,89,92,89,87,3
1,0,0,0,1,1,1,0,0,0,0,0,1,1,90,92,89,87,3
1,0,1,0,1,0,1,0,0,1,0,1,0,0,91,96,92,95,2
0,1,0,0,1,1,0,0,1,0,0,0,1,1,91,91,90,88,3
1,1,0,0,0,1,0,1,0,1,0,0,1,0,90,90,88,87,1
0,0,0,1,1,1,1,0,0,0,0,1,0,1,94,98,91,95,4
0,1,0,0,1,1,0,1,0,0,0,1,1,1,94,89,88,88,3
0,0,1,1,0,1,1,1,0,0,0,1,0,0,89,94,86,92,2
1,1,0,0,0,1,1,0,1,1,0,0,0,0,80,95,90,87,4
1,1,0,1,0,0,0,1,0,1,0,0,1,0,91,89,89,88,1
1,1,1,0,0,0,1,0,1,0,0,0,0,1,83,93,88,92,2
0,1,1,1,0,0,0,1,0,1,0,0,1,0,92,90,91,89,1
1,0,0,1,0,1,0,1,1,0,0,0,0,1,90,91,89,88,4
0,0,0,1,1,1,0,0,1,1,0,0,0,1,88,88,88,87,4
0,1,0,0,1,1,1,0,0,1,0,0,0,1,89,92,87,87,3
1,0,0,1,0,1,1,0,1,1,0,0,0,0,92,90,91,89,4
1,1,0,0,1,0,0,1,0,1,0,0,1,0,86,81,84,87,1
1,1,0,1,0,0,0,0,1,0,1,0,0,1,85,93,93,95,2
1,0,0,1,0,1,1,0,1,1,0,0,0,0,90,91,90,90,4
0,0,1,1,0,1,0,1,0,1,0,1,0,0,85,95,91,88,2
0,0,1,1,0,1,0,0,1,0,1,0,0,1,91,92,88,86,2
1,1,0,0,0,1,0,0,0,1,0,1,1,0,90,90,88,87,1
1,0,0,1,0,1,1,0,1,1,0,0,0,0,85,90,86,88,4
0,0,1,1,1,0,0,0,0,0,1,1,1,0,90,96,89,88,2
1,1,0,0,0,1,1,1,0,0,0,0,1,0,92,91,89,89,1
1,1,1,0,0,0,0,0,1,1,0,0,1,0,86,94,89,87,2
0,1,0,0,1,1,0,0,0,0,0,0,1,1,92,90,89,92,3
0,0,1,1,0,1,0,0,1,0,1,0,0,1,87,97,91,93,2
0,1,0,0,1,1,0,0,1,0,0,0,1,1,92,92,87,88,3
0,1,0,0,1,1,0,0,1,0,0,0,1,1,92,89,90,89,3
0,1,0,0,1,1,0,0,1,0,0,0,1,1,90,93,89,89,3
0,1,0,0,1,1,1,0,1,0,0,0,1,1,91,90,87,87,3
0,1,0,0,1,1,0,0,1,0,0,0,1,1,90,89,97,88,3
1,1,0,0,0,1,1,0,1,0,0,0,0,1,94,95,89,87,2
1,0,0,1,0,1,1,0,0,1,0,0,0,1,89,91,88,87,1
0,1,0,1,1,0,0,0,0,0,0,1,1,1,93,92,91,91,3
0,1,0,1,1,0,0,0,1,0,1,0,1,0,93,96,93,93,2
0,0,1,1,0,1,1,0,0,1,0,1,0,0,84,92,89,91,2
1,1,0,0,0,1,0,0,0,0,1,1,1,0,92,91,89,89,1
1,0,1,0,1,0,1,0,1,1,0,0,0,0,84,96,90,88,4
1,0,0,0,1,1,0,1,0,1,0,0,1,0,91,89,89,88,1
0,0,1,1,0,1,1,0,1,0,0,0,0,1,83,92,92,96,2
1,1,0,0,0,1,1,0,0,1,0,0,0,1,90,89,91,88,1
0,0,1,1,0,1,0,0,1,0,1,0,0,1,94,94,91,90,2
0,1,0,0,1,1,0,0,1,0,0,0,1,1,93,93,89,89,3
1,1,0,0,1,0,1,0,1,0,0,0,0,1,87,88,86,86,3
1,0,0,0,1,1,0,0,1,0,0,0,1,1,90,88,87,88,3
1,1,0,0,1,0,1,0,0,0,1,0,0,1,92,93,93,85,3
0,1,0,1,1,0,0,1,0,1,0,1,0,0,91,96,93,96,2
0,1,1,0,1,0,0,1,0,1,0,0,1,0,88,87,89,85,1
1,1,0,1,0,0,0,0,1,0,1,0,0,1,92,95,90,94,2
0,1,0,1,1,0,0,0,0,0,0,1,1,1,85,80,80,80,4
1,0,1,0,1,0,0,0,1,0,1,0,0,1,87,93,87,93,2
1,0,0,1,0,1,1,0,1,1,0,0,0,0,97,95,92,97,4
0,0,1,1,1,0,1,0,1,1,0,0,0,0,80,95,90,87,4
0,0,0,1,1,1,1,0,0,1,0,1,0,0,89,91,88,87,1
1,1,0,0,0,1,0,1,0,1,0,0,1,0,92,91,89,89,1
0,1,0,0,1,1,0,0,1,0,0,0,1,1,92,90,89,89,3
1,0,1,0,0,1,1,0,1,1,0,0,0,0,88,88,88,87,4
1,0,0,1,0,1,1,1,1,0,0,0,0,0,90,90,95,95,4
0,1,0,0,1,1,1,0,0,0,0,0,1,1,90,92,89,89,3
0,0,1,1,0,1,0,0,1,0,1,0,0,1,91,91,90,93,2
0,1,0,1,1,0,0,0,0,0,1,1,1,0,94,97,92,96,2
0,1,1,0,0,1,1,1,0,0,0,0,1,0,93,93,92,86,3
1,0,0,1,1,0,0,1,1,0,0,0,0,1,91,90,92,90,4
0,0,1,1,0,1,1,1,0,0,0,1,0,0,93,96,93,95,2
0,0,0,1,1,1,0,0,1,0,1,0,0,1,92,97,92,95,2
1,0,0,1,0,1,1,0,1,1,0,0,0,0,91,90,92,90,4
1,1,0,0,0,1,0,0,0,1,0,1,1,0,91,89,90,89,1
1,1,0,0,0,1,1,0,0,1,0,0,0,1,91,90,92,90,1
1,1,0,0,0,1,0,0,1,1,0,0,1,0,89,92,85,89,2
0,1,0,0,1,1,0,0,1,0,0,0,1,1,91,90,88,90,3
0,1,0,0,1,1,0,0,1,0,0,0,1,1,90,87,89,85,3
1,0,1,0,1,0,1,0,1,1,0,0,0,0,94,91,90,88,4
0,1,0,0,1,1,0,0,1,0,0,0,1,1,96,92,90,90,3
0,1,0,0,1,1,0,0,1,0,0,0,1,1,94,87,91,86,3
0,0,1,1,0,1,1,0,1,0,0,0,0,1,91,91,91,89,2
1,1,1,0,0,0,0,0,1,0,1,0,0,1,84,96,90,88,2
0,0,1,1,0,1,1,0,1,0,0,0,0,1,94,92,86,92,2
1,0,0,1,0,1,1,0,0,0,0,1,0,1,91,90,88,90,4
1,1,0,0,0,1,0,1,0,1,0,0,1,0,90,89,91,88,1
0,1,0,0,1,1,0,1,0,1,0,0,1,0,92,91,89,89,1
0,0,1,0,1,1,0,0,1,0,0,1,0,1,90,91,89,88,4
1,0,1,1,0,0,1,0,1,0,1,0,0,0,85,90,86,88,4
1,0,0,1,0,1,0,0,0,0,1,1,0,1,89,92,82,90,4
0,0,0,1,1,1,0,1,0,1,0,0,1,0,89,91,88,87,1
0,1,0,0,1,1,0,0,0,1,0,0,0,1,89,90,87,85,3
0,1,0,1,0,1,0,0,1,0,0,0,1,1,92,92,89,91,3
0,0,0,1,1,1,1,0,1,1,0,0,0,0,94,98,91,95,4
0,1,0,0,1,1,1,1,0,0,0,0,1,0,90,90,88,90,3
1,0,1,0,0,1,1,0,1,1,0,0,0,0,90,94,90,92,4
0,0,1,0,1,1,1,0,1,1,0,0,0,0,92,90,91,89,4
0,1,0,0,1,1,0,0,1,0,0,0,1,1,90,93,89,87,3
0,0,1,1,0,1,1,0,1,0,0,0,0,1,84,95,90,94,2
0,0,1,1,0,1,0,0,1,0,1,0,0,1,87,98,90,93,2
0,1,0,0,1,1,1,0,1,0,0,0,0,1,90,92,87,88,3
1,1,0,0,0,1,1,1,0,0,0,0,1,0,89,91,88,87,1
1,1,0,0,0,1,0,0,0,1,0,1,1,0,90,89,91,88,1
0,1,0,1,1,0,0,0,1,0,1,0,1,0,94,98,89,96,2
0,1,1,0,0,1,1,1,0,0,0,0,0,1,90,90,88,87,1
1,0,0,0,1,1,0,1,1,1,0,0,0,0,89,87,86,88,3
0,1,0,0,1,1,0,0,1,0,0,0,1,1,90,92,88,88,3
0,1,0,0,1,1,0,0,1,0,0,0,1,1,96,94,88,89,3
0,0,1,1,0,1,0,0,1,1,0,0,1,0,88,93,92,88,2
1,1,0,0,0,1,0,0,0,1,0,1,0,1,94,89,89,89,4
1,0,0,1,0,1,0,0,0,0,1,1,1,0,91,90,92,90,1
1,1,1,0,0,0,0,0,1,0,1,0,0,1,93,96,87,94,2
1,1,0,1,0,0,1,0,1,0,0,0,0,1,87,95,86,86,2
1,1,0,1,0,0,0,0,0,0,1,1,1,0,90,93,88,91,2
0,1,0,0,1,1,0,1,0,0,0,0,1,1,92,90,89,88,3
0,1,1,0,0,1,0,1,0,1,0,0,1,0,92,90,91,89,1
1,1,0,0,0,1,0,0,0,1,0,1,1,0,91,90,92,90,1
0,0,0,1,1,1,1,1,0,0,0,0,0,1,87,90,87,87,3
1,0,0,0,1,1,1,0,0,0,0,0,1,1,94,89,89,89,3
1,0,0,0,1,1,1,0,0,1,0,1,0,0,89,91,88,87,1
1,0,0,1,0,1,1,0,1,1,0,0,0,0,80,95,90,87,4
1,0,0,1,1,0,0,1,1,0,0,0,0,1,90,91,89,88,4
1,0,1,0,1,0,1,1,0,0,0,1,0,0,86,97,92,93,2
0,1,0,0,1,1,0,0,1,0,0,0,1,1,91,91,90,90,3
1,0,1,0,0,1,1,0,1,1,0,0,0,0,90,90,95,95,4
1,1,1,0,0,0,0,1,0,1,0,1,0,0,85,94,91,93,2
0,1,0,0,1,1,0,1,1,0,0,0,1,0,93,90,89,87,3
0,0,1,1,1,0,1,0,1,0,0,0,0,1,83,95,92,89,4
0,0,1,0,1,1,1,0,0,0,1,1,0,0,84,93,91,96,4
1,0,0,1,1,0,1,0,0,0,0,1,0,1,89,91,88,87,1
0,0,1,1,0,1,0,0,1,0,1,0,0,1,89,92,93,89,2
0,1,0,0,1,1,0,0,1,0,0,0,1,1,92,92,89,92,3
0,1,1,0,0,1,0,1,0,1,0,1,0,0,94,96,87,94,2
1,0,1,0,1,0,1,0,1,1,0,0,0,0,97,95,92,97,4
1,1,0,0,0,1,0,1,0,1,0,0,1,0,88,87,88,86,1
1,0,1,0,0,1,0,0,0,1,1,1,0,0,92,95,88,93,4
1,0,0,0,1,1,1,0,0,0,0,0,1,1,90,91,89,88,3
1,1,1,0,0,0,0,0,1,0,1,0,0,1,92,90,91,89,1
1,1,0,0,0,1,0,0,1,0,1,0,0,1,87,96,88,92,2
0,0,1,1,0,1,0,0,0,1,0,1,1,0,90,92,91,90,1
1,0,0,0,1,1,1,1,0,0,0,0,1,0,90,92,91,90,1
1,0,1,0,1,0,1,0,0,0,1,1,0,0,80,95,90,87,4
1,0,0,1,0,1,1,0,0,0,1,1,0,0,92,90,89,88,4
0,0,0,1,1,1,1,0,1,0,0,0,0,1,84,91,93,88,2
1,0,0,1,1,0,0,1,0,1,0,0,1,0,90,92,91,90,1
1,0,0,1,0,1,1,0,1,0,1,0,0,0,97,97,94,98,4
0,1,0,1,0,1,0,1,0,1,0,0,1,0,92,90,89,88,1
1,1,0,0,0,1,0,0,1,0,1,0,0,1,89,94,89,87,2
0,0,1,1,0,1,1,0,0,1,0,1,0,0,86,93,88,93,2
1,1,0,0,0,1,0,1,0,1,0,0,1,0,91,89,90,89,1
0,1,0,1,1,0,0,0,1,0,0,0,1,1,90,91,88,89,3
1,0,1,1,0,0,1,0,0,0,1,1,0,0,92,91,89,89,4
1,0,0,0,1,1,0,0,1,0,0,0,1,1,89,87,88,87,3
0,1,0,0,1,1,0,0,1,0,0,0,1,1,92,90,87,88,3
1,0,1,0,0,1,1,0,1,1,0,0,0,0,89,92,82,90,4
0,1,0,0,1,1,0,0,1,0,0,0,1,1,90,88,85,90,3
0,1,0,0,1,1,0,0,1,0,0,0,1,1,93,92,90,90,3
1,1,0,0,0,1,0,1,0,1,0,0,1,0,92,90,89,88,1
1,1,0,0,0,1,0,1,0,0,0,0,1,1,88,87,88,86,1
0,1,0,0,1,1,0,0,1,0,0,0,1,1,89,86,87,92,3
1,1,0,0,0,1,0,1,0,1,0,0,1,0,86,81,84,87,1
0,1,0,0,1,1,0,1,0,0,0,0,1,1,91,91,89,90,3
1,0,1,0,1,0,1,0,0,1,0,1,0,0,84,94,91,92,2
1,0,0,1,0,1,1,0,1,1,0,0,0,0,90,96,89,88,4
1,1,0,0,0,1,0,0,0,1,0,1,1,0,92,90,89,88,1
1,1,0,1,0,0,1,0,0,1,0,1,0,0,89,91,92,92,2
1,0,1,1,0,0,0,0,1,1,0,0,0,1,80,95,90,87,4
0,0,1,1,0,1,1,1,0,0,0,1,0,0,93,92,89,89,2
1,0,0,1,0,1,1,0,1,1,0,0,0,0,90,91,90,90,4
0,0,0,1,1,1,0,0,1,0,0,0,1,1,90,88,87,90,3
0,1,1,0,1,1,0,0,0,0,0,1,1,1,95,92,93,91,1
1,0,1,0,0,1,0,1,1,0,0,0,0,1,85,90,86,88,4
1,0,0,0,1,1,1,0,1,0,1,0,0,0,97,97,94,98,4
0,0,1,1,0,1,1,0,0,1,0,1,0,0,91,98,93,94,2
0,1,0,0,1,1,0,0,1,0,0,0,1,1,90,88,89,88,3
1,0,0,1,0,1,0,0,1,1,1,0,0,0,94,89,89,89,4
0,1,0,0,1,1,0,1,1,0,0,0,0,1,90,91,90,90,3
1,0,0,1,1,0,1,0,1,1,0,0,0,0,97,95,92,97,4
1,1,0,0,0,1,1,1,0,0,0,1,0,0,85,94,92,93,2
1,1,0,0,0,1,0,1,0,1,0,0,1,0,91,90,92,90,1
0,0,0,1,1,1,0,0,1,1,0,0,0,1,90,94,90,92,4
0,1,0,0,1,1,0,0,1,0,0,0,1,1,90,89,89,89,3
0,1,1,0,0,1,1,0,0,1,0,1,0,0,85,97,93,86,2
1,1,1,0,0,0,0,0,0,1,0,1,1,0,92,91,89,89,1
0,1,0,0,1,1,0,0,1,0,0,0,1,1,93,91,88,86,3
0,1,0,0,1,1,0,0,1,0,0,0,1,1,90,92,89,89,3
0,0,1,1,0,1,0,0,1,0,1,0,1,0,90,97,85,86,2
0,0,1,1,0,1,0,0,1,0,1,0,0,1,94,93,86,91,2
0,0,1,1,0,1,0,0,0,0,1,1,1,0,83,92,92,86,2
0,0,1,1,0,1,1,0,1,0,0,0,0,1,89,94,85,90,2
1,0,0,1,0,1,1,0,1,1,0,0,0,0,89,87,88,87,4
1,0,0,1,0,1,0,0,1,1,0,1,0,0,94,98,91,95,4
0,1,0,0,1,1,0,0,1,0,0,0,1,1,92,88,86,90,3
1,0,0,1,1,0,0,0,0,0,0,1,1,1,90,92,91,90,1
0,0,0,1,1,1,0,0,1,0,1,0,0,1,92,92,85,88,2
0,1,0,0,1,1,1,0,1,0,0,0,1,0,90,89,88,87,3
0,0,0,1,1,1,0,0,1,0,0,0,1,1,93,87,87,86,3
0,0,1,1,0,1,0,0,1,0,1,0,0,1,85,94,89,86,2
1,0,0,1,0,1,0,0,0,1,0,1,0,1,90,90,88,87,4
1,1,0,0,0,1,0,0,1,0,1,0,0,1,86,98,93,96,2
1,0,0,1,0,1,1,0,1,1,0,0,0,0,91,90,88,90,4
0,1,0,0,1,1,0,0,0,1,0,0,1,1,93,93,91,90,3
1,0,0,1,0,1,1,0,1,1,0,0,0,0,91,90,88,90,4
0,0,1,1,0,1,0,1,0,1,0,0,1,0,92,90,91,89,1
1,1,1,0,0,0,1,1,0,0,0,1,0,0,86,93,91,92,2
0,1,1,0,0,1,0,0,1,0,1,0,0,1,85,95,90,92,2
1,0,0,1,1,0,1,0,1,1,0,0,0,0,84,93,91,96,4
1,0,0,0,1,1,0,0,1,0,0,0,1,1,90,93,89,88,3
0,1,0,0,1,1,0,0,1,0,0,0,1,1,91,87,85,85,3
0,0,1,1,0,1,1,1,0,0,0,1,0,0,83,92,86,93,2
0,1,0,0,1,1,0,1,1,0,0,0,0,1,89,92,89,89,3
1,0,0,1,0,1,1,1,0,0,0,0,0,1,88,88,88,87,4
0,1,1,0,0,1,0,0,1,0,1,0,0,1,91,94,90,88,2
1,1,0,0,0,1,0,0,0,1,0,1,1,0,90,89,91,88,1
1,0,0,1,0,1,1,0,1,1,0,0,0,0,90,87,88,88,4
1,0,0,1,0,1,1,0,0,0,1,1,0,0,90,90,95,95,4
1,1,0,0,0,1,1,1,0,0,0,1,0,0,87,91,87,96,2
1,1,0,0,0,1,0,1,0,1,0,0,1,0,91,89,90,89,1
0,0,1,1,0,1,1,0,1,0,0,0,0,1,86,91,91,91,2
0,1,0,0,1,1,0,0,1,0,0,0,1,1,90,87,88,88,3
1,1,0,0,0,1,0,1,0,1,0,0,1,0,92,90,91,89,1
0,1,0,0,1,1,0,0,1,1,0,0,0,1,88,88,88,87,3
0,0,1,1,0,1,0,0,1,1,0,0,1,0,89,93,88,94,2
1,1,0,0,0,1,0,0,1,0,1,0,0,1,86,92,90,89,2
1,1,0,0,0,1,0,1,0,1,0,0,1,0,91,89,90,89,1
1,1,0,0,0,1,1,0,0,1,0,1,0,0,87,93,87,87,2
1,0,0,1,0,1,1,0,1,1,0,0,0,0,85,90,86,88,4
0,0,0,1,1,1,0,1,0,0,0,1,1,0,92,90,89,88,1
0,1,0,0,1,1,1,1,0,0,0,0,1,0,90,89,89,86,3
1,0,0,1,0,1,1,0,0,0,1,1,0,0,92,90,89,88,4
1,0,0,1,0,1,0,0,1,0,1,1,0,0,90,94,90,92,4
1,0,0,1,0,1,1,0,1,1,0,0,0,0,89,92,82,90,4
0,0,1,1,1,0,0,0,1,1,0,0,1,0,94,98,91,95,2
1,0,0,1,0,1,0,1,1,0,0,0,0,1,94,89,89,89,4
1,0,0,1,0,1,1,0,1,1,0,0,0,0,94,89,89,89,4
1,1,0,0,1,0,0,1,1,0,0,0,1,1,92,90,89,92,3
